# Generation	mean_fitness
1818	30.801
1819	30.801
1820	30.801
1821	30.801
1822	30.801
1823	30.801
1824	30.801
1825	30.801
1826	30.801
1827	30.801
1828	30.801
1829	30.801
1830	30.801
1831	30.801
1832	30.801
1833	30.801
1834	30.801
1835	30.801
1836	30.801
1837	30.801
1838	30.801
1839	30.801
1840	30.801
1841	30.801
1842	30.801
1843	30.801
1844	30.801
1845	30.801
1846	30.801
1847	30.801
1848	30.801
1849	30.801
1850	30.801
1851	30.801
1852	30.801
1853	30.801
1854	30.801
1855	30.801
1856	30.801
1857	30.801
1858	30.801
1859	30.801
1860	30.801
1861	30.801
1862	30.801
1863	30.801
1864	30.801
1865	30.801
1866	30.801
1867	30.801
1868	30.801
1869	30.801
1870	30.801
1871	30.801
1872	30.801
1873	30.801
1874	30.801
1875	30.801
1876	30.801
1877	30.801
1878	30.801
1879	30.801
1880	30.801
1881	30.801
1882	30.801
1883	30.801
1884	30.801
1885	30.801
1886	30.801
1887	30.801
1888	30.801
1889	30.801
1890	30.801
1891	30.801
1892	30.801
1893	30.801
1894	30.801
1895	30.801
1896	30.801
1897	30.801
1898	30.801
1899	30.801
1900	30.801
1901	30.801
1902	30.801
1903	30.801
1904	30.801
1905	30.801
1906	30.801
1907	30.801
1908	30.801
1909	30.801
1910	30.801
1911	30.801
1912	30.801
1913	30.801
1914	30.801
1915	30.801
1916	30.801
1917	30.801
1918	30.801
1919	30.801
1920	30.801
1921	30.801
1922	30.801
1923	30.801
1924	30.801
1925	30.801
1926	30.801
1927	30.801
1928	30.801
1929	30.801
1930	30.801
1931	30.801
1932	30.801
1933	30.801
1934	30.801
1935	30.801
1936	30.801
1937	30.801
1938	30.801
1939	30.801
1940	30.801
1941	30.801
1942	30.801
1943	30.801
1944	30.801
1945	30.801
1946	30.801
1947	30.801
1948	30.801
1949	30.801
1950	30.801
1951	30.801
1952	30.801
1953	30.801
1954	30.801
1955	30.801
1956	30.801
1957	30.801
1958	30.801
1959	30.801
1960	30.801
1961	30.801
1962	30.801
1963	30.801
1964	30.801
1965	30.801
1966	30.801
1967	30.801
1968	30.801
1969	30.801
1970	30.801
1971	30.801
1972	30.801
1973	30.801
1974	30.801
1975	30.801
1976	30.801
1977	30.801
1978	30.801
1979	30.801
1980	30.801
1981	30.801
1982	30.801
1983	30.801
1984	30.801
1985	30.801
1986	30.801
1987	30.801
1988	30.801
1989	30.801
1990	30.801
1991	30.801
1992	30.801
1993	30.801
1994	30.801
1995	30.801
1996	30.801
1997	30.801
1998	30.801
1999	30.801
